Temp, Pres, Alt, Time
26.9,100923,33.36,4404
26.9,100919,34.11,5303
26.9,100924,33.53,10202
26.9,100921,32.94,11105
26.9,100924,33.44,12004
26.9,100923,33.19,12503
26.9,100920,33.53,13403
26.9,100916,33.86,14301
26.9,100926,34.11,15200
26.9,100929,33.78,20055
26.9,100920,33.78,20554
26.9,100923,34.28,21453
26.9,100930,33.94,22400
26.9,100927,33.94,23255
26.9,100927,33.53,24154
27,100926,33.36,25053
26.9,100926,33.69,30000
27,100920,33.69,30455
26.9,100924,34.19,31354
27,100923,33.94,32253
27,100925,33.19,33201
27,100924,33.44,34100
27,100924,33.19,34554
27,100927,33.44,35453
27,100923,33.19,40352
26.9,100926,33.11,41300
27,100926,33.19,42155
27,100923,33.27,43053
26.9,100921,33.94,43552
26.9,100923,33.02,44455
26.9,100916,34.11,45355
26.9,100923,34.44,50254
27,100926,33.19,51153
27,100927,32.94,52100
27,100921,33.11,52555
27,100926,33.44,53454
27,100928,33.19,54353
26.9,100925,33.44,55300
27,100918,33.86,10015
26.9,100924,33.53,10105
27,100927,33.86,10155
26.9,100922,33.02,10245
26.9,100927,34.11,10340
27,100924,33.36,10430
26.9,100923,33.27,10515
26.9,100923,33.02,11005
27,100927,33.27,11100
26.9,100928,33.78,11145
27,100920,33.02,11235
27,100921,34.02,11325
27,100921,33.44,11420
26.9,100925,33.61,11510
26.9,100929,33.27,12000
26.9,100928,33.69,12045
27,100924,33.27,12140
27,100924,33.11,12230
27,100927,33.19,12320
26.9,100927,34.02,12410
27,100923,34.02,12455
26.9,100924,33.11,12550
26.9,100928,33.53,13040
26.9,100928,34.02,13130
26.9,100926,33.02,13220
27,100926,33.19,13310
27,100923,33.53,13400
26.9,100914,33.44,13450
26.9,100925,33.36,13540
26.9,100923,33.27,14030
26.9,100922,34.19,14120
27,100920,33.61,14210
27,100921,33.78,14300
27,100924,33.27,14350
27,100921,33.78,14435
26.9,100925,33.69,14525
26.9,100930,33.53,15015
27,100926,33.36,15105
26.9,100923,33.27,15200
26.9,100924,33.69,15245
27,100924,32.94,15335
27,100925,33.19,15425
26.9,100920,33.44,15520
27,100928,33.19,20010
26.9,100919,33.94,20055
27,100927,33.61,20145
27,100926,33.19,20240
26.9,100922,33.69,20330
26.9,100924,33.69,20415
26.9,100920,33.36,20505
26.9,100914,34.02,20555
27,100920,33.53,21050
26.9,100925,33.94,21140
26.9,100924,33.53,21225
27,100930,33.69,21315
26.9,100920,33.27,21410
26.9,100926,33.86,21500
26.9,100923,34.02,21550
26.9,100920,34.19,22035
26.9,100923,33.11,22130
26.9,100920,33.44,22220
27,100921,33.44,22310
27,100919,33.69,22400
27,100918,33.94,22450
27,100917,33.53,22540
26.9,100924,33.19,23030
26.9,100916,33.69,23120
26.9,100924,34.11,23210
26.9,100925,34.61,23300
26.9,100922,33.53,23350
26.9,100923,33.53,23440
26.9,100924,33.11,23530
27,100926,33.27,24020
26.9,100915,33.61,24110
26.9,100924,33.94,24200
27,100924,33.44,24250
26.9,100916,33.69,24340
26.9,100924,33.61,24430
26.9,100924,33.36,24520
27,100925,33.69,25010
26.9,100924,33.78,25100
26.9,100924,33.94,25150
26.9,100931,33.94,25240
26.9,100926,33.44,25330
26.9,100921,33.69,25420
26.9,100923,33.78,25510
26.9,100920,33.86,30000
26.9,100921,33.78,30050
26.9,100921,33.53,30140
26.9,100916,33.86,30231
26.9,100926,33.69,30320
26.9,100920,33.69,30410
26.9,100920,33.44,30500
26.9,100918,34.19,30551
26.9,100916,33.78,31041
26.9,100924,34.11,31130
26.9,100926,33.69,31220
26.9,100921,33.27,31310
26.9,100922,33.27,31400
26.9,100925,33.61,31450
26.9,100922,33.53,31540
26.9,100921,33.61,32030
26.9,100921,33.94,32120
26.9,100921,33.19,32210
26.9,100926,33.53,32300
26.9,100916,33.86,32350
26.9,100921,33.69,32441
26.9,100922,33.78,32530
26.9,100923,33.94,33020
26.9,100920,34.02,33110
26.9,100923,33.69,33201
26.9,100923,33.53,33250
26.9,100921,33.94,33340
26.9,100924,33.53,33430
